This file was created by CMPT_ME_BEME_RETS using the 202203 CRSP database.;;;;;;;;;;
The 1-month TBill return is from Ibbotson and Associates; Inc.;;;;;;;;;
;;;;;;;;;;
Fecha;Mkt-RF;SMB;HML;RF;;;;;;fecha
1/07/1926;2,96;-2,38;-2,73;0,22;;;;;;
1/08/1926;2,64;-1,47;4,14;0,25;;;;;;
1/09/1926;0,36;-1,39;0,12;0,23;;;;;;
1/10/1926;-3,24;-0,13;0,65;0,32;;;;;;
1/11/1926;2,53;-0,16;-0,38;0,31;;;;;;
1/12/1926;2,62;-0,02;0;0,28;;;;;;
1/01/1927;-0,06;-0,51;4,73;0,25;;;;;;
1/02/1927;4,18;-0,25;3,27;0,26;;;;;;
1/03/1927;0,13;-1,89;-2,56;0,3;;;;;;
1/04/1927;0,46;0,49;0,71;0,25;;;;;;
1/05/1927;5,44;1,46;4,98;0,3;;;;;;
1/06/1927;-2,34;0,51;-1,53;0,26;;;;;;
1/07/1927;7,26;-3,25;-1,14;0,3;;;;;;
1/08/1927;1,97;-0,69;-3,74;0,28;;;;;;
1/09/1927;4,76;-3,63;-0,63;0,21;;;;;;
1/10/1927;-4,31;2,12;-4,33;0,25;;;;;;
1/11/1927;6,58;2,72;-0,27;0,21;;;;;;
1/12/1927;2,09;0,97;-1,13;0,22;;;;;;
1/01/1928;-0,68;4,26;-0,75;0,25;;;;;;
1/02/1928;-1,7;-2,06;-0,65;0,33;;;;;;
1/03/1928;8,81;-0,26;-1,22;0,29;;;;;;
1/04/1928;4,23;3,98;3,44;0,22;;;;;;
1/05/1928;1,52;2,85;-3,27;0,32;;;;;;
1/06/1928;-4,85;-3,52;-0,03;0,31;;;;;;
1/07/1928;0,62;-1,32;-0,5;0,32;;;;;;
1/08/1928;6,68;-2,06;-2,15;0,32;;;;;;
1/09/1928;2,88;2,41;0,86;0,27;;;;;;
1/10/1928;1,33;2,22;-2,16;0,41;;;;;;
1/11/1928;11,81;-1,78;2,7;0,38;;;;;;
1/12/1928;0,36;-0,86;-0,65;0,06;;;;;;
1/01/1929;4,66;-3,56;-1,24;0,34;;;;;;
1/02/1929;-0,34;-0,38;1,66;0,36;;;;;;
1/03/1929;-0,89;-4,71;1,58;0,34;;;;;;
1/04/1929;1,43;-0,97;0,59;0,36;;;;;;
1/05/1929;-6,39;-5,37;-1,42;0,44;;;;;;
1/06/1929;9,7;-2,17;-2,79;0,52;;;;;;
1/07/1929;4,46;-3,85;2,66;0,33;;;;;;
1/08/1929;8,18;-9,51;0;0,4;;;;;;
1/09/1929;-5,47;1,18;-0,62;0,35;;;;;;
1/10/1929;-20,12;-4,01;7,77;0,46;;;;;;
1/11/1929;-12,74;-1,81;5,22;0,37;;;;;;
1/12/1929;1,33;-4,48;-0,59;0,37;;;;;;
1/01/1930;5,61;3,53;-0,92;0,14;;;;;;
1/02/1930;2,5;0,19;0,2;0,3;;;;;;
1/03/1930;7,1;3,41;0,33;0,35;;;;;;
1/04/1930;-2,06;-0,35;-0,35;0,21;;;;;;
1/05/1930;-1,66;-2,02;-0,71;0,26;;;;;;
1/06/1930;-16,27;-3,36;2,28;0,27;;;;;;
1/07/1930;4,12;-0,35;-1,54;0,2;;;;;;
1/08/1930;0,3;-2,23;-0,79;0,09;;;;;;
1/09/1930;-12,75;-2,22;-5,27;0,22;;;;;;
1/10/1930;-8,78;-0,12;-1,38;0,09;;;;;;
1/11/1930;-3,04;2,22;-3,52;0,13;;;;;;
1/12/1930;-7,83;-4,66;-5,38;0,14;;;;;;
1/01/1931;6,24;3,75;7,13;0,15;;;;;;
1/02/1931;10,88;3,38;1,6;0,04;;;;;;
1/03/1931;-6,43;3,06;-3,67;0,13;;;;;;
1/04/1931;-9,98;-4,63;-3,95;0,08;;;;;;
1/05/1931;-13,24;5,16;-6,59;0,09;;;;;;
1/06/1931;13,9;-5,36;11,34;0,08;;;;;;
1/07/1931;-6,62;1,49;-2,21;0,06;;;;;;
1/08/1931;0,41;-1,92;-1,54;0,03;;;;;;
1/09/1931;-29,13;0,48;-6,67;0,03;;;;;;
1/10/1931;8,04;-1,73;1,46;0,1;;;;;;
1/11/1931;-9,08;4,32;-5,06;0,17;;;;;;
1/12/1931;-13,53;-0,42;-9,05;0,12;;;;;;
1/01/1932;-1,58;3,85;9,16;0,23;;;;;;
1/02/1932;5,46;-2,87;-1,31;0,23;;;;;;
1/03/1932;-11,21;2,34;-2,44;0,16;;;;;;
